ENTRY	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	rfree	cons
1975:08	-0.08185	-0.07486	-0.06303	-0.05917	-0.04096	-0.02459	-0.02847	-0.02972	-0.02089	-0.01633	0.005214	0.997430
1975:09	-0.05223	-0.03898	-0.03333	-0.03908	-0.03714	-0.04507	-0.02490	-0.03414	-0.04195	-0.03524	0.005199	0.990940
1975:10	-0.01107	0.02777	0.02641	0.04828	0.03502	0.03864	0.06747	0.05427	0.06202	0.06349	0.004836	0.997950
1975:11	0.02605	0.03542	0.02700	0.03918	0.03429	0.03115	0.04175	0.03588	0.03170	0.02989	0.004456	0.994550
1975:12	0.001571	-0.02124	-0.002273	-0.01003	-0.004493	-0.005666	-0.002430	0.0001640	-0.001224	-0.01410	0.004424	1.000100
1976:01	0.2825900	0.2600400	0.2226900	0.2106700	0.1936500	0.1675000	0.1552300	0.1609400	0.1341200	0.1105500	0.003971	1.006620
1976:02	0.1934000	0.1154500	0.1113200	0.08611	0.06910	0.05891	0.04946	0.02424	0.01932	-0.01719	0.003979	0.993440
1976:03	-0.02681	0.01024	0.01698	0.01195	0.01363	0.01803	0.01231	0.01796	0.009005	0.03881	0.004074	1.003130
1976:04	-0.03906	-0.03480	-0.01737	-0.01677	-0.009593	-0.005195	-0.01388	-0.01072	-0.01210	-0.01045	0.003962	1.001760
1976:05	-0.04368	-0.02853	-0.01491	-0.02339	-0.01776	-0.01480	-0.01175	-0.01440	-0.007731	-0.007409	0.004233	0.992280
1976:06	0.02953	0.05314	0.04800	0.03805	0.06244	0.05684	0.06109	0.06409	0.05179	0.04312	0.004400	1.000160
1976:07	-0.002210	0.006624	0.003231	-0.005178	-0.0003190	-0.0004930	-0.007857	-0.006513	-0.007999	-0.008042	0.004257	0.995850
1976:08	-0.02983	-0.02778	-0.01346	-0.01540	-0.02023	-0.01657	-0.005890	-0.01278	-0.002443	0.005248	0.004186	0.996850
1976:09	0.008727	0.01480	0.02667	0.03414	0.02794	0.02904	0.02258	0.02679	0.01993	0.02688	0.004138	0.997210
1976:10	-0.02478	-0.02089	-0.02005	-0.02807	-0.02619	-0.02334	-0.03035	-0.02583	-0.02216	-0.01964	0.004010	0.996910
1976:11	0.03126	0.04554	0.04266	0.04980	0.03918	0.04070	0.03848	0.03706	0.02232	-0.008437	0.003875	1.001220
1976:12	0.1327100	0.1159300	0.09061	0.08318	0.09342	0.07932	0.07764	0.07330	0.07294	0.04788	0.003555	1.001130
1977:01	0.02625	0.03582	0.02899	0.02297	0.02151	-0.003370	-0.01371	-0.03023	-0.04051	-0.04856	0.003771	0.997320
1977:02	-0.01843	-0.01757	-0.01089	-0.005363	-0.01517	-0.02137	-0.02128	-0.02145	-0.02365	-0.01448	0.003811	0.990330
1977:03	0.02007	0.01876	-0.002488	0.001808	0.002480	0.002516	-0.001432	0.003963	-0.002561	-0.01684	0.003755	0.989470
1977:04	0.01330	0.008640	0.02337	0.03415	0.02477	0.01744	0.01545	0.01031	0.01718	-0.002942	0.003707	0.994720
1977:05	0.01018	-0.007123	-0.008904	-0.007745	0.005150	-0.003981	-0.002533	-0.01278	-0.007428	-0.01546	0.004042	0.999950
1977:06	0.06371	0.07994	0.07165	0.07514	0.08084	0.05934	0.05985	0.05414	0.05036	0.04798	0.004090	0.992520
1977:07	0.008373	-0.003483	0.003375	-0.01649	-0.01092	-0.01282	-0.01405	-0.02185	-0.02126	-0.01418	0.004225	1.002940
1977:08	-0.02683	-0.01323	-0.01634	-0.009864	-0.01263	-0.009399	-0.02098	-0.02119	-0.02102	-0.01145	0.004464	0.992850
1977:09	0.002447	0.01785	0.0004160	0.01483	0.009323	0.01321	0.002276	0.004832	-0.001579	-0.001238	0.004717	0.997770
1977:10	-0.03033	-0.02283	-0.01646	-0.02359	-0.04092	-0.02523	-0.02661	-0.03597	-0.03789	-0.04275	0.004994	1.002750
1977:11	0.1249500	0.1071800	0.09965	0.09179	0.07254	0.07455	0.05813	0.06223	0.04731	0.03187	0.004947	0.995550
1977:12	-0.004127	0.009037	0.009933	0.001846	0.003361	0.01364	0.006167	0.006862	0.006589	0.004748	0.004923	0.995560
1978:01	-0.003168	-0.01864	-0.01089	-0.03453	-0.03234	-0.04417	-0.04672	-0.05187	-0.05652	-0.06248	0.005214	0.993040
1978:02	0.03077	0.02962	0.009594	0.01439	0.01986	0.004727	0.003755	-0.009428	-0.01808	-0.01595	0.005222	1.005290
1978:03	0.1162100	0.07857	0.08438	0.05937	0.04869	0.07112	0.04943	0.04736	0.04507	0.02004	0.005096	1.000120
1978:04	0.07644	0.08905	0.06373	0.07085	0.07180	0.07568	0.06606	0.07591	0.07478	0.08947	0.005096	0.991470
1978:05	0.07270	0.07158	0.05432	0.05665	0.04572	0.03946	0.04235	0.03627	0.02704	0.008342	0.005191	0.992820
1978:06	-0.01715	-0.01199	-0.01180	0.002581	0.001050	-0.003527	-0.004155	-0.004102	-0.01300	-0.01682	0.005442	0.996220
1978:07	0.04955	0.07061	0.05583	0.07227	0.06994	0.04975	0.06033	0.07978	0.05151	0.05404	0.005662	0.988860
1978:08	0.1342000	0.07005	0.08875	0.08117	0.07670	0.06025	0.06008	0.04566	0.03357	0.02960	0.005717	0.998890
1978:09	-0.01903	-0.005107	-0.01383	-0.01659	-0.01105	-0.02536	-0.01731	-0.007817	-0.007168	-0.003619	0.006318	0.995710
1978:10	-0.2606100	-0.2341400	-0.2181700	-0.2085800	-0.1926000	-0.1795100	-0.1479700	-0.1307300	-0.1133300	-0.07535	0.006426	0.987410
1978:11	0.05331	0.07782	0.06085	0.05789	0.06346	0.05910	0.02877	0.02764	0.02927	0.02869	0.006930	0.996160
1978:12	0.007251	0.01481	0.01100	0.02382	0.02319	0.01046	0.01056	0.007161	0.009644	0.01995	0.007269	0.999020
1979:01	0.1508300	0.1229600	0.1187200	0.08810	0.08181	0.08338	0.06008	0.07372	0.05483	0.03447	0.007476	0.991260
1979:02	-0.02832	-0.02528	-0.02592	-0.02149	-0.03846	-0.02880	-0.03839	-0.03336	-0.03140	-0.02696	0.007453	0.993720
1979:03	0.1038200	0.09519	0.09316	0.08732	0.1036000	0.09363	0.08165	0.08018	0.07498	0.04975	0.007576	0.989580
1979:04	0.02988	0.02142	0.01083	0.03926	0.02453	0.01344	0.01767	0.01005	-0.0003160	0.004907	0.007561	0.986800
1979:05	0.01094	-0.01087	-0.01389	-0.004840	-0.01248	-0.01339	-0.01762	-0.003430	-0.005493	-0.01917	0.007676	0.989700
1979:06	0.05008	0.05211	0.07103	0.06377	0.03495	0.05986	0.06361	0.06411	0.05837	0.03540	0.007254	0.994360
1979:07	0.01479	0.02898	0.01675	0.03807	0.04744	0.03432	0.02341	0.03126	0.02880	0.005821	0.007392	0.983390
1979:08	0.09313	0.09432	0.08976	0.07926	0.08227	0.06917	0.06978	0.07809	0.05610	0.05923	0.007607	0.997400
1979:09	-0.02239	-0.009979	-0.01997	0.003373	-0.007379	-0.01636	0.01049	-0.01065	0.005101	0.0006560	0.008172	0.990710
1979:10	-0.1448500	-0.1102000	-0.1306500	-0.1073500	-0.09105	-0.08955	-0.09674	-0.08896	-0.07645	-0.05673	0.009263	0.991790
1979:11	0.1022900	0.09414	0.09225	0.07828	0.07843	0.08279	0.08115	0.08491	0.06490	0.05060	0.009331	0.992980
1979:12	0.04443	0.09315	0.08326	0.05186	0.04772	0.04127	0.03534	0.04285	0.03577	0.01047	0.009519	0.984270
1980:01	0.07123	0.08805	0.05535	0.07353	0.06090	0.06011	0.05174	0.04467	0.06580	0.06412	0.009489	0.989270
1980:02	-0.03737	-0.03535	-0.03017	-0.04988	-0.03455	-0.02203	-0.03050	-0.03719	-0.02790	0.01475	0.01013	0.983300
1980:03	-0.1798000	-0.1716400	-0.1578800	-0.1489200	-0.1591500	-0.1541600	-0.1333400	-0.1105100	-0.1159300	-0.09520	0.01186	0.984140
1980:04	0.06106	0.07179	0.06536	0.06439	0.06130	0.06405	0.06302	0.06605	0.05623	0.04159	0.01039	0.983660
1980:05	0.06559	0.05959	0.07342	0.09901	0.09797	0.07322	0.07688	0.08080	0.06755	0.04802	0.006883	0.987820
1980:06	0.03497	0.04757	0.03242	0.03486	0.04059	0.03903	0.03465	0.05395	0.04460	0.02695	0.005709	0.991480
1980:07	0.1021700	0.1203900	0.1025700	0.1200600	0.09816	0.1042700	0.09246	0.07897	0.07503	0.05730	0.006481	1.000400
1980:08	0.07482	0.04832	0.06951	0.04685	0.03779	0.04400	0.03560	0.01074	0.02577	0.01420	0.007307	0.995710
1980:09	0.03071	0.01648	0.02036	0.03351	0.01637	0.03016	0.04061	0.03251	0.03198	0.02733	0.008180	0.991490
1980:10	0.04628	0.04673	0.02865	0.01357	0.02741	0.004056	0.02334	0.007280	0.01669	0.02219	0.009203	0.996660
1980:11	0.004192	0.06496	0.06080	0.08525	0.05632	0.07411	0.09014	0.07863	0.07750	0.1279200	0.01078	0.985290
1980:12	-0.03458	-0.04359	-0.02925	-0.02560	-0.01384	-0.03042	-0.03463	-0.01956	-0.02241	-0.03956	0.01207	0.998810
1981:01	0.04293	0.02754	0.02202	-0.005289	-0.002797	-5.500E-005	-0.01380	-0.02170	-0.03627	-0.05786	0.01173	0.987310
1981:02	0.02983	0.02174	0.01852	0.01599	0.02846	0.01081	0.02164	0.02841	0.01325	0.01788	0.01156	0.985840
1981:03	0.07989	0.09054	0.07766	0.09268	0.07275	0.09500	0.08071	0.08360	0.07755	0.01815	0.01051	0.994160
1981:04	0.02214	0.03514	0.02643	0.01759	0.02858	0.01419	0.01024	-0.004547	-0.002749	-0.03069	0.01075	0.995350
1981:05	0.02134	0.02766	0.02760	0.007289	0.03294	0.02479	0.02261	0.02793	0.02195	-0.003103	0.01266	0.994970
1981:06	0.02788	0.02244	-0.008450	-0.005266	-0.01873	-0.01213	-0.009863	-0.01871	-0.02195	-0.001715	0.01152	0.997340
1981:07	-0.01857	-0.04293	-0.01662	-0.03837	-0.02668	-0.01827	-0.02951	-0.02655	-0.001564	0.01352	0.01168	0.984740
1981:08	-0.06373	-0.08618	-0.07246	-0.08074	-0.06744	-0.06143	-0.05413	-0.05383	-0.05453	-0.05467	0.01209	0.990710
1981:09	-0.06416	-0.07073	-0.07173	-0.05862	-0.06316	-0.04165	-0.06283	-0.05275	-0.05528	-0.05564	0.01149	0.988600
1981:10	0.09371	0.09027	0.09112	0.06021	0.07385	0.05861	0.05971	0.06223	0.07615	0.04912	0.01064	0.997250
1981:11	0.02626	0.04330	0.04270	0.03747	0.03288	0.02907	0.04622	0.04970	0.04093	0.04893	0.008628	0.992670
1981:12	-0.01880	-0.01874	-0.01386	-0.009335	-0.01756	-0.01876	-0.01566	-0.02644	-0.02653	-0.03151	0.008621	1.002560
1982:01	-0.005870	0.0003810	-0.01736	-0.02428	-0.03466	-0.02789	-0.03899	-0.03706	-0.03110	-0.01509	0.009699	0.991670
1982:02	-0.02916	-0.03087	-0.03219	-0.04263	-0.03335	-0.02609	-0.03815	-0.04137	-0.04710	-0.05484	0.01059	1.001750
1982:03	-0.0003940	0.005899	0.002569	0.01020	0.003944	0.003358	0.001498	-0.01597	-0.007283	-0.01044	0.009998	0.998910
1982:04	0.03751	0.03773	0.05617	0.06161	0.04928	0.05250	0.04756	0.05066	0.04767	0.03670	0.01001	0.998530
1982:05	-0.009737	-0.02922	-0.02572	-0.03449	-0.03299	-0.03311	-0.03247	-0.04061	-0.04276	-0.02277	0.009556	0.987340
1982:06	-0.02059	-0.01979	-0.02465	-0.01194	-0.01815	-0.005152	-0.01289	-0.01893	-0.02897	-0.01944	0.009841	0.988310
1982:07	-0.004545	0.01025	-0.0008290	0.005468	-0.01193	-0.005607	-0.02521	-0.01280	-0.03097	-0.02231	0.008999	0.998970
1982:08	0.07592	0.08822	0.09118	0.1110900	0.1192300	0.1099200	0.1224300	0.1180000	0.1348800	0.1267100	0.006961	0.997300
1982:09	0.04414	0.03903	0.04104	0.03764	0.02457	0.03365	0.01815	0.02682	0.01472	0.005900	0.006372	1.001770
1982:10	0.1241700	0.1532200	0.1408100	0.1298600	0.1422200	0.1401500	0.1426600	0.1237800	0.1271800	0.1041800	0.006208	1.003020
1982:11	0.1369700	0.07174	0.09399	0.08707	0.09615	0.07075	0.07606	0.05482	0.05405	0.03455	0.006488	1.000220
1982:12	0.004123	0.02114	0.01565	0.01309	0.003648	0.01834	0.009339	0.01207	0.01378	0.01877	0.006388	1.005530
1983:01	0.1091000	0.06869	0.06576	0.05852	0.06073	0.04867	0.03540	0.02702	0.02711	0.03765	0.006325	0.998750
1983:02	0.05993	0.05425	0.05759	0.07052	0.04676	0.03440	0.05378	0.02872	0.02290	0.02321	0.006519	0.999060
1983:03	0.05623	0.04724	0.04948	0.03654	0.04590	0.03618	0.05050	0.03160	0.02864	0.03184	0.006705	1.006880
1983:04	0.06728	0.07633	0.08159	0.08299	0.04370	0.06102	0.06222	0.06628	0.06325	0.07773	0.006597	0.994360
1983:05	0.1029100	0.08065	0.06902	0.03989	0.04556	0.04857	0.03838	0.03973	0.02349	-0.01860	0.006581	0.998100
1983:06	0.04957	0.02964	0.05421	0.03033	0.05500	0.03006	0.04173	0.03260	0.03022	0.04077	0.007045	1.003440
1983:07	-0.01305	-0.002433	-0.008372	-0.01916	-0.03379	-0.02213	-0.02965	-0.03467	-0.03145	-0.03136	0.007269	0.998800
1983:08	-0.01839	-0.01639	-0.02320	-0.03615	-0.009063	-0.01265	-0.01140	0.006816	0.001987	0.02427	0.007469	0.998730
1983:09	0.01534	0.01430	0.03048	0.03403	0.03997	0.03372	0.03260	0.01655	0.02174	0.01216	0.007207	0.997920
1983:10	-0.03088	-0.06039	-0.06967	-0.04064	-0.04294	-0.04030	-0.03639	-0.02148	-0.02861	-0.007908	0.006930	0.999330
1983:11	0.05007	0.05777	0.05852	0.04888	0.05008	0.05145	0.04123	0.04862	0.02700	0.01532	0.007022	0.999130
1983:12	-0.007499	-0.008463	-0.004651	-0.02550	-0.01278	-0.01420	-0.01402	-0.01795	-0.01636	-0.002823	0.007207	1.002760
1984:01	0.05479	0.0002700	0.007755	-0.01187	-0.01011	-0.02335	-0.03261	-0.02844	-0.01342	-0.001567	0.007130	0.997900
1984:02	-0.06530	-0.04975	-0.04532	-0.05385	-0.03989	-0.06087	-0.05186	-0.05007	-0.04883	-0.02729	0.007277	0.984340
1984:03	0.01711	0.02177	0.01670	0.009993	0.01979	0.006196	0.01420	0.01992	0.03168	0.01309	0.007607	1.003710
1984:04	-0.02382	-0.003381	-0.003785	0.004885	0.008753	-0.007710	-0.01539	-0.01153	-0.007320	0.01451	0.007737	1.001320
1984:05	-0.05780	-0.04158	-0.05411	-0.04534	-0.03669	-0.04351	-0.04333	-0.06642	-0.05302	-0.05057	0.007844	1.001110
1984:06	0.01612	0.03338	0.01833	0.01587	0.02619	0.02531	0.02611	0.02480	0.03152	0.02046	0.007875	1.002520
1984:07	-0.05063	-0.04377	-0.05838	-0.03650	-0.04235	-0.03508	-0.03358	-0.03156	-0.01525	-0.007093	0.008066	0.992070
1984:08	0.09603	0.09404	0.1166300	0.1105600	0.1159500	0.1199800	0.1174400	0.1266900	0.1113400	0.1080900	0.008332	1.000440
1984:09	0.0003810	0.01168	0.01450	-0.002756	0.009890	-0.001994	0.003955	0.009755	0.006448	-0.0008190	0.008256	1.002260
1984:10	-0.007485	-0.01426	-0.01197	-0.005888	-0.0002900	-0.008825	-0.0004680	0.003746	0.007040	0.004439	0.007775	0.992620
1984:11	-0.06112	-0.003574	-0.02277	-0.01456	-0.01531	-0.005056	-0.003537	-0.009382	0.001312	-0.01212	0.006907	1.005930
1984:12	0.006772	0.01193	0.01872	0.02085	0.01340	0.03209	0.01980	0.01958	0.03204	0.02532	0.006481	0.998050
1985:01	0.1516300	0.1222200	0.1133000	0.1090200	0.1142200	0.1077500	0.09178	0.09738	0.07403	0.07177	0.006247	1.002780
1985:02	0.03788	0.01798	0.01954	0.02057	0.01403	0.01042	0.01177	0.01052	0.02588	0.01565	0.006643	0.999800
1985:03	-0.01796	-0.03096	-0.01427	-0.03042	-0.01676	-0.01022	0.005758	-0.008482	0.01846	-0.002154	0.006837	0.990230
1985:04	-0.008101	-0.01741	-0.01897	-0.02220	-0.01439	-0.002071	-0.01430	-0.006517	-0.001021	-0.0001430	0.006395	1.003900
1985:05	0.01970	0.03012	0.03693	0.04241	0.03487	0.04977	0.04906	0.05935	0.07869	0.05971	0.006029	1.001640
1985:06	0.007235	0.008799	0.007309	0.01125	0.009135	0.02831	0.02331	0.02005	0.02510	0.01417	0.005615	0.996320
1985:07	0.03698	0.03782	0.01675	0.01973	0.01415	0.009866	0.007513	-0.001342	-0.01450	-0.004834	0.005717	1.001110
1985:08	0.008963	-0.005299	-0.0003340	-0.007048	-0.002430	-0.004659	-0.008066	-0.003588	-0.001802	-0.005520	0.005764	1.001430
1985:09	-0.05461	-0.04605	-0.06509	-0.05555	-0.04839	-0.04002	-0.04045	-0.05107	-0.04450	-0.02926	0.005732	0.999430
1985:10	0.01291	0.02995	0.04088	0.03850	0.02372	0.03385	0.04982	0.05139	0.06449	0.03961	0.005779	0.995690
1985:11	0.08896	0.05568	0.06873	0.06305	0.05565	0.05100	0.07468	0.06382	0.06870	0.07120	0.005842	0.997680
1985:12	0.05359	0.03823	0.04092	0.04696	0.04367	0.04368	0.03798	0.03828	0.03862	0.04998	0.005732	1.001930
1986:01	-0.004954	0.008364	-0.005840	0.01048	-0.002046	0.02181	0.01920	0.02062	0.02448	-0.0007930	0.005709	0.994180
1986:02	0.05824	0.07233	0.04521	0.08669	0.07612	0.06535	0.06858	0.06592	0.08634	0.07226	0.005701	1.002480
1986:03	0.06269	0.05907	0.06511	0.05543	0.06407	0.06395	0.05711	0.04636	0.05284	0.05673	0.005309	1.010160
1986:04	-0.01004	-0.0002350	0.001863	-0.01112	-0.006176	0.003759	-0.01321	-0.01581	-0.02164	-0.01190	0.004915	1.001440
1986:05	0.02354	0.02497	0.02926	0.04745	0.02533	0.04796	0.05038	0.03969	0.05358	0.05468	0.004986	0.999870
1986:06	-0.01409	-0.004802	-0.01226	0.006587	-0.0002060	-0.0009400	0.008283	1.900E-005	0.01883	0.01929	0.005033	0.998130
1986:07	-0.07988	-0.07348	-0.08089	-0.08054	-0.09402	-0.06613	-0.06129	-0.05776	-0.05185	-0.05130	0.004733	1.000380
1986:08	0.01396	0.03994	0.04399	0.04110	0.05946	0.05909	0.07181	0.08886	0.06736	0.07564	0.004496	0.996230
1986:09	-0.02662	-0.04568	-0.04289	-0.05119	-0.04518	-0.06312	-0.06698	-0.06460	-0.08050	-0.08638	0.004241	0.999810
1986:10	0.03204	0.03264	0.03817	0.04710	0.03444	0.04802	0.04999	0.05103	0.07288	0.05102	0.004217	1.001170
1986:11	0.008274	0.0001390	0.009234	-0.002021	0.0009530	0.003044	0.005929	0.006741	0.01369	0.02533	0.004353	1.000160
1986:12	-0.01343	-0.01379	-0.02825	-0.02157	-0.02562	-0.01990	-0.03427	-0.03104	-0.03680	-0.02332	0.004496	1.002610
1987:01	0.08267	0.09175	0.09865	0.1037900	0.1213700	0.1183500	0.1312400	0.1294900	0.1126800	0.1342300	0.004416	0.990820
1987:02	0.07760	0.06944	0.05304	0.07757	0.06873	0.05730	0.05527	0.05435	0.04311	0.03481	0.004543	1.005850
1987:03	0.04137	0.04254	0.03664	0.03470	0.01697	0.02619	0.006799	0.01998	0.01878	0.02818	0.004543	0.995710
1987:04	-0.02818	-0.02148	-0.02172	-0.03630	-0.03192	-0.01988	-0.01704	-0.02501	-0.02537	-0.009025	0.004583	0.998150
1987:05	0.02401	-0.0006180	-0.01206	0.004372	-0.007839	0.01667	0.004462	0.008792	0.0005610	0.008105	0.004599	0.998380
1987:06	0.04730	0.03559	0.02120	0.02519	0.03957	0.03252	0.03855	0.03636	0.05285	0.05115	0.004606	0.996320
1987:07	0.07914	0.06049	0.03408	0.04304	0.04523	0.05219	0.05398	0.05959	0.05541	0.04176	0.004622	0.999840
1987:08	-0.006841	0.02295	0.02685	0.02360	0.02025	0.02190	0.02323	0.02528	0.02549	0.04463	0.004899	0.997760
1987:09	-0.005912	-0.02986	-0.005209	-0.02564	-0.01070	-0.01136	-0.01180	-0.01124	-0.02348	-0.02311	0.005183	0.991310
1987:10	-0.3006000	-0.3030400	-0.2944900	-0.2838400	-0.2803800	-0.2770900	-0.2570900	-0.2611300	-0.2250200	-0.1956000	0.004970	1.002360
1987:11	-0.05839	-0.03357	-0.03520	-0.04403	-0.03357	-0.04362	-0.04671	-0.04677	-0.05659	-0.08989	0.004622	0.994250
1987:12	0.01717	0.05716	0.04764	0.05944	0.07440	0.08753	0.08460	0.09671	0.06776	0.06328	0.004686	1.002520
1988:01	0.1260000	0.08609	0.07007	0.05872	0.05641	0.06721	0.04673	0.05011	0.05073	0.04218	0.004717	1.002440
1988:02	0.06306	0.06536	0.09712	0.08525	0.08264	0.07627	0.08361	0.07226	0.05879	0.03755	0.004599	0.999250
1988:03	0.03552	0.02456	0.01716	0.03782	0.02283	0.02524	-0.005495	0.01876	-0.01853	-0.03883	0.004630	1.003020
1988:04	-0.001527	0.01508	0.02577	0.007985	0.02733	0.01518	0.004544	0.004137	0.01046	0.01048	0.004796	0.991750
1988:05	-0.02972	-0.02154	-0.01762	-0.02010	-0.01410	0.004134	-0.001868	0.001286	-9.000E-005	0.009479	0.005073	1.000130
1988:06	0.07143	0.05319	0.06244	0.07577	0.07529	0.06808	0.06200	0.06470	0.06236	0.03954	0.005230	0.998510
1988:07	0.007582	-0.004865	0.005826	-0.007803	-0.005977	-0.01321	-0.01338	-0.01275	-0.01773	-0.0009760	0.005442	0.998480
1988:08	-0.03187	-0.02063	-0.02546	-0.01921	-0.03073	-0.02902	-0.01000	-0.02090	-0.02659	-0.03101	0.005701	1.000130
1988:09	0.02103	0.01824	0.02575	0.03209	0.02913	0.01698	0.02456	0.02381	0.04726	0.04152	0.005842	0.991010
1988:10	-0.02457	-0.01467	-0.01702	-0.006801	0.006101	-0.002751	0.01455	0.01335	0.01130	0.03212	0.005928	1.002700
1988:11	-0.05755	-0.03743	-0.03294	-0.03254	-0.02664	-0.02221	-0.02236	-0.01773	-0.02524	-0.009082	0.006247	0.996420
1988:12	0.03078	0.02248	0.04934	0.02134	0.03909	0.03595	0.01987	0.02138	0.01829	0.01675	0.006488	0.994760
1989:01	0.05208	0.06126	0.04217	0.04594	0.05113	0.05769	0.05757	0.05495	0.06954	0.07170	0.006643	0.997300
1989:02	0.001310	0.004268	0.01112	0.006600	0.008090	0.01425	-0.003516	-0.001040	-0.01113	-0.02804	0.006845	0.998380
1989:03	0.004926	0.01886	0.007079	0.02858	0.02093	0.01981	0.01250	0.005911	0.02028	0.02523	0.007069	0.990570
1989:04	0.01440	0.01386	0.01789	0.03608	0.04353	0.03642	0.04649	0.04329	0.04086	0.05136	0.006937	0.994420
1989:05	0.02984	0.02325	0.03594	0.03647	0.04135	0.04678	0.03390	0.04039	0.03874	0.03880	0.006767	0.995410
1989:06	0.006846	-0.008650	-0.02641	-0.003626	-0.004302	-0.005077	-0.006367	0.002102	0.004852	-0.004481	0.006550	0.996840
1989:07	0.03172	0.04442	0.03378	0.04992	0.03691	0.04811	0.05902	0.06934	0.08311	0.09234	0.006341	0.996270
1989:08	0.02318	0.004920	0.02584	0.02409	0.02686	0.02223	0.03293	0.02568	0.03542	0.01418	0.006356	1.002940
1989:09	-0.005217	0.001756	-0.001734	-0.01593	0.0003580	-0.01249	-0.01415	-0.009377	-0.01386	0.0008310	0.006240	0.997570
1989:10	-0.07408	-0.07540	-0.05061	-0.06643	-0.05947	-0.05661	-0.04461	-0.05192	-0.04751	-0.01427	0.006154	0.995880
1989:11	0.002488	0.007590	0.02027	0.006913	0.007011	0.02239	0.01020	0.01939	0.01251	0.02370	0.006193	0.996970
1989:12	0.01284	0.004915	0.009169	0.002910	-0.003776	0.01124	0.004746	0.01875	0.02241	0.02439	0.006146	1.004590
1990:01	-0.04601	-0.04146	-0.05310	-0.07203	-0.06399	-0.07849	-0.06297	-0.06672	-0.07816	-0.06552	0.006154	0.980970
1990:02	-0.01044	0.001714	0.002655	0.01740	0.01273	0.02077	0.01622	0.01739	0.01913	0.01155	0.006232	1.000300
1990:03	0.009503	0.03010	0.01204	0.01515	0.03509	0.03502	0.009662	0.02672	0.02005	0.02454	0.006356	0.994920
1990:04	-0.04149	-0.05844	-0.03304	-0.03633	-0.04572	-0.04552	-0.03918	-0.04552	-0.03853	-0.01896	0.006255	0.998390
1990:05	0.009635	0.02862	0.02985	0.06029	0.06863	0.07048	0.07357	0.08502	0.09201	0.09332	0.006232	0.997260
1990:06	0.001190	-0.004129	-0.002417	0.01087	0.007188	-0.003346	-0.01213	-0.007675	-0.01296	-0.004276	0.006224	0.996760
1990:07	-0.03749	-0.03192	-0.01935	-0.01727	-0.01658	-0.02492	-0.01324	-0.01208	-0.02334	0.004461	0.006138	0.997060
1990:08	-0.1229500	-0.1072700	-0.1053800	-0.1113500	-0.1082200	-0.1100500	-0.09370	-0.09430	-0.09435	-0.08267	0.006006	0.992090
1990:09	-0.09206	-0.08307	-0.08015	-0.07073	-0.06800	-0.08330	-0.04268	-0.06244	-0.06715	-0.04080	0.005936	0.990580
1990:10	-0.07465	-0.05301	-0.03869	-0.03563	-0.04195	-0.04315	-0.03616	-0.02119	-0.02757	0.003226	0.005787	0.990020
1990:11	0.03258	0.04000	0.04256	0.06090	0.05745	0.07597	0.06620	0.07215	0.08289	0.05808	0.005701	0.993290
1990:12	-0.01679	0.01212	0.01694	0.01781	0.03061	0.04389	0.02696	0.03765	0.03413	0.02584	0.005450	0.995870
1991:01	0.1777500	0.1193800	0.08584	0.09100	0.04997	0.08153	0.06372	0.04736	0.05686	0.03497	0.005041	0.990640
1991:02	0.1671600	0.1582700	0.1124200	0.1041600	0.09459	0.1036300	0.08236	0.09453	0.07252	0.06697	0.004820	0.999360
1991:03	0.09758	0.04403	0.04029	0.05035	0.04445	0.03377	0.03546	0.02588	0.02848	0.02080	0.004796	1.002730
1991:04	-0.009527	-0.008183	-0.01428	0.01623	0.0002280	0.02093	0.005334	0.01618	0.006188	-1.000E-005	0.004591	0.996560
1991:05	0.01854	0.04010	0.03254	0.04710	0.03904	0.04500	0.04383	0.03954	0.05363	0.03707	0.004440	1.001520
1991:06	-0.07193	-0.03455	-0.03272	-0.03197	-0.03603	-0.04798	-0.03416	-0.04283	-0.05491	-0.04000	0.004527	0.995680
1991:07	0.003029	0.02537	0.02430	0.03206	0.01772	0.05591	0.03820	0.04774	0.04180	0.04775	0.004535	0.997830
1991:08	0.01121	0.02186	0.02235	0.03952	0.02908	0.03471	0.02341	0.02381	0.02694	0.02369	0.004337	0.994350
1991:09	-0.009128	-0.004467	0.009240	0.01926	-0.002912	-0.006197	-0.01306	-0.007859	-0.006802	-0.01712	0.004249	0.997070
1991:10	-0.03186	0.01254	0.007698	0.01067	0.01332	0.02644	0.009574	0.01331	0.01898	0.01434	0.004066	0.994950
1991:11	-0.02019	-0.03156	-0.02703	-0.04666	-0.05084	-0.05149	-0.03604	-0.04071	-0.04607	-0.03486	0.003723	0.998560
1991:12	0.02555	0.04581	0.05450	0.06260	0.07559	0.1034400	0.08245	0.09550	0.1163300	0.1094800	0.003330	0.997740
1992:01	0.2457300	0.09438	0.04415	0.07068	0.05816	0.04092	0.04355	0.02433	0.007624	-0.02713	0.003113	1.005020
1992:02	0.04054	0.06087	0.03536	0.01633	0.01050	0.02983	0.03213	0.01933	0.02558	0.006148	0.003145	0.997770
1992:03	-0.01465	-0.008365	-0.01570	-0.02131	-0.02177	-0.02646	-0.01288	-0.02359	-0.02304	-0.01765	0.003306	0.993700
